"sample","labels","batch2","order","class"
"QC01","QC","1","1","NA"
"QC02","QC","1","2","NA"
"QC03","QC","1","3","NA"
"X10_B_4","Sample","1","4","4"
"X17_C_2","Sample","1","5","6"
"X20_B_3","Sample","1","6","3"
"X18_C_1","Sample","1","7","5"
"X19_C_2","Sample","1","8","6"
"X14_B_4","Sample","1","9","4"
"QC04","QC","1","10","NA"
"X1_B_3","Sample","1","11","3"
"X18_B_2","Sample","1","12","2"
"X17_B_2","Sample","1","13","2"
"X14_B_3","Sample","1","14","3"
"X19_C_1","Sample","1","15","5"
"X14_C_2","Sample","1","16","6"
"QC05","QC","1","17","NA"
"X16_B_2","Sample","1","18","2"
"X15_C_3","Sample","1","19","7"
"X19_C_3","Sample","1","20","7"
"X17_C_1","Sample","1","21","5"
"X9_C_2","Sample","1","22","6"
"X1_C_2","Sample","1","23","6"
"QC06","QC","1","24","NA"
"X16_C_1","Sample","1","25","5"
"X20_B_4","Sample","1","26","4"
"X18_B_4","Sample","1","27","4"
"X20_C_3","Sample","1","28","7"
"X10_C_2","Sample","1","29","6"
"X19_B_2","Sample","1","30","2"
"QC07","QC","1","31","NA"
"X20_C_2","Sample","1","32","6"
"X17_B_4","Sample","1","33","4"
"X9_B_4","Sample","1","34","4"
"X20_B_2","Sample","1","35","2"
"X9_C_1","Sample","1","36","5"
"X19_B_3","Sample","1","37","3"
"QC08","QC","1","38","NA"
"X15_C_2","Sample","1","39","6"
"X16_B_4","Sample","1","40","4"
"X19_B_4","Sample","1","41","4"
"X17_C_3","Sample","1","42","7"
"X10_C_3","Sample","1","43","7"
"X16_C_3","Sample","1","44","7"
"QC09","QC","1","45","NA"
"X10_B_2","Sample","1","46","2"
"X10_C_1","Sample","1","47","5"
"X1_C_3","Sample","1","48","7"
"X14_B_2","Sample","1","49","2"
"X15_B_4","Sample","1","50","4"
"X9_B_2","Sample","1","51","2"
"QC10","QC","1","52","NA"
"X15_B_2","Sample","1","53","2"
"X15_C_1","Sample","1","54","5"
"X14_C_3","Sample","1","55","7"
"X16_C_2","Sample","1","56","6"
"X18_C_2","Sample","1","57","6"
"X1_B_2","Sample","1","58","2"
"QC11","QC","1","59","NA"
"X17_B_3","Sample","1","60","3"
"X15_B_3","Sample","1","61","3"
"X14_C_1","Sample","1","62","5"
"X20_C_1","Sample","1","63","5"
"X9_B_3","Sample","1","64","3"
"X10_B_3","Sample","1","65","3"
"QC12","QC","1","66","NA"
"X1_C_1","Sample","1","67","5"
"X9_C_3","Sample","1","68","7"
"X18_C_3","Sample","1","69","7"
"X18_B_3","Sample","1","70","3"
"X1_B_4","Sample","1","71","4"
"QC13","QC","1","72","NA"
